steam_id_hash,leetify_id,privacy_mode,winrate,total_matches,first_match_date,rank_leetify,rank_premier,rank_faceit,rank_faceit_elo,rank_wingman,rating_aim,rating_positioning,rating_utility,rating_clutch,rating_opening,rating_ct_leetify,rating_t_leetify,stat_accuracy_head,stat_accuracy_enemy_spotted,stat_preaim,stat_reaction_time_ms,stat_spray_accuracy,stat_counter_strafing_good_shots_ratio,stat_ct_opening_aggression_success_rate,stat_ct_opening_duel_success_percentage,stat_t_opening_aggression_success_rate,stat_t_opening_duel_success_percentage,stat_traded_deaths_success_percentage,stat_trade_kill_opportunities_per_round,stat_trade_kills_success_percentage,stat_he_foes_damage_avg,stat_flashbang_thrown,stat_flashbang_leading_to_kill,stat_utility_on_death_avg,recent_matches_count,ban_count
9ff1db9bdcb2b0ff,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008b4f8024deb60,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151e47748afbd370,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d04b33ff224339d9,0babd2d7-7356-44ba-961c-0eb6c0d437d3,public,0.3333,1463,2020-08-22T19:41:41.000Z,0.61,23662,7,1579,16,59.4835,59.8706,72.2734,0.1082,0.0148,0.0162,-0.0035,17.3364,34.5755,9.7827,628.5766,34.8778,72.3943,43.5078,52.4843,35.8407,44.3985,43.5518,0.3522,49.7045,12.1479,9.9047,6.6916,327.5891,100,0
27a207db54e4a141,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197d1dd4bc7bc456,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ddc965ba9832615b,d255f929-5415-4421-b7bf-33d1fd048444,public,0.5357,1549,2020-04-06T13:54:59.000Z,2.62,17924,,,,71.226,53.5856,72.9293,0.159,0.016,0.0133,0.0386,19.8446,36.4132,11.9457,598.3838,35.9765,80.6046,30.6065,44.3936,30.9888,40.0105,49.1498,0.3638,45.472,11.063,12.5673,10.6835,220.1896,100,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b84218f27eaa47e7,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f799388120f7a54,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3a1072c4a8fb1c9,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26a9fa1c4911d5fb,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
