steam_id_hash,inventory_public,item_count_unique,item_count_total,marketable_count,total_usd,max_item_usd,items_priced
bf36802755247e0f,True,34,46,43,37.769999999999996,5.01,11
8c46e99a577d2183,True,42,44,26,0.32,0.04,9
1847c7e478a39e79,True,65,65,41,53.7,53.7,1
0e584888a9d18a11,True,69,72,54,0.98,0.41,10
edcf5a0c3e70d533,True,177,210,195,2.2,0.29,34
c84994941b0a83ee,True,15,15,2,0.03,0.03,1
b9df29c0e7c73242,True,32,32,13,0.8099999999999999,0.43,7
da63849e5ec75754,True,60,65,51,8.34,2.34,9
eab0f0a71cd9b19d,True,19,19,7,0.28,0.17,2
42d935e10fc35a06,True,18,28,28,32.87,18.93,8
39edd89f7caf7a2a,True,32,35,29,21.07,6.87,8
2a46b33e79746b61,True,9,89,89,11.73,1.2,2
e570c009920a53f9,True,57,70,63,1.32,0.28,16
281a776ea84cf110,True,13,13,0,0.0,0.0,0
ac3314096f5f4a57,True,16,16,5,0.41,0.41,1
bb97f596aff2b0af,True,174,318,297,23.46,3.39,26
98e31ff0ffca189c,True,16,16,5,1.42,0.97,3
60856ca610fa3dc5,True,47,53,36,8.959999999999999,6.72,7
2c3d934ebcc08435,True,135,337,317,19.740000000000002,11.97,22
fea24bccd2b94f77,True,65,115,93,8.75,4.9,17
55a14b8b8685c50e,True,32,94,86,73.16999999999999,2.34,11
747218cd3302997a,True,59,87,77,1.13,0.53,9
3a73288e170e403b,True,30,31,25,6.29,2.34,11
cb3584b95b63a2fe,True,42,42,31,0.44,0.07,11
b3910c3def9db977,True,37,52,41,17.48,2.34,7
d088be8e4cbb98dd,True,170,311,294,27.24,11.97,38
ed5b1a3c4dda8c26,True,73,90,75,19.72,3.39,21
0c55f9a389d76c46,True,19,19,14,1.04,0.53,4
a7898e0686ca1146,True,26,28,17,3.59,2.34,7
c1bf83f1b219a2fb,True,26,26,17,38.11,25.0,5
8e19955bce003c5c,True,16,24,22,8.280000000000001,1.04,11
