steam_id_hash,degree,clustering,betweenness,in_largest_component,inventory_log,cs2_hours,country
33a961830fdb0a42,2,1.0,0.0,True,1.1052568313867783,9337.85,BR
dd88e4c3eadf458b,5,0.3,0.002262688177628563,True,2.3398808777377424,2122.4666666666667,BR
74e36e2b5727fb11,1,0.0,0.0,True,2.578700529074361,6995.316666666667,BR
cabe3d42ffd6b4d6,2,1.0,0.0,True,1.2149127443642704,0.0,BR
ff35e97acdbaee24,1,0.0,0.0,True,3.899342952270771,380.75,BR
cb3a306c7375fff8,1,0.0,0.0,True,2.403334996094189,0.0,BR
03bb56b8b0de5df7,1,0.0,0.0,True,0.1655144384775733,602.45,BR
f873ef823039d290,2,0.0,0.0005816280127330605,True,0.0,3705.3166666666666,BR
2e197d475ee4dcbf,2,0.0,0.0014856907995162674,True,0.0,5958.4,KP
2cb40b70c7214b28,5,0.7,5.240130101038821e-06,True,0.0,0.0,BR
e5f888e46e76d028,1,0.0,0.0,True,0.0,0.0,
f5456b65f6b336b2,19,0.10526315789473684,0.020575484757600692,True,0.7929925155296614,929.8,BR
f05df0ac967689a3,1,0.0,0.0,True,0.8960880245566356,3031.833333333333,BR
771b276a5cc02f0b,1,0.0,0.0,True,0.0,56.833333333333336,BR
647c396ee3bcb2f2,3,1.0,0.0,True,0.8501509293696101,919.55,BR
353d8e876ea51c20,1,0.0,0.0,True,3.214867803470662,1000.4833333333332,
66b97e701b7f6bee,4,0.16666666666666666,0.0020941336971350617,True,2.4078456036515385,3988.55,BR
d08037e2fb6fec00,1,0.0,0.0,True,3.246880021277798,1655.9833333333331,BR
08c797a3961d79b6,2,1.0,0.0,True,1.9095425048844383,1503.85,BR
cc27f344ce169867,1,0.0,0.0,True,1.9960599327407849,2278.8166666666666,
4ca8ed4c4aa4219c,5,0.4,0.0029620940755624844,True,3.045474365448805,1425.4,BR
8a37dc840d642da2,2,1.0,0.0,True,0.0,0.0,BR
d3d21595892caa5b,1,0.0,0.0,True,0.0,1667.5666666666666,BR
627b6b51bb20f828,1,0.0,0.0,True,0.0,4727.533333333334,
3d1343a131a35140,1,0.0,0.0,True,0.0,1001.4833333333332,
50e246fa90f2c332,1,0.0,0.0,True,4.30406509320417,925.7666666666668,
a4516713be68c770,3,0.6666666666666666,0.0006315430835685538,True,0.0,10.183333333333334,
1b5520dafab4caf8,2,1.0,0.0,True,0.0,1297.75,
92dd56cc4ca4ae72,1,0.0,0.0,True,1.5129270120532563,0.0,BR
7bb2ea3855219410,2,1.0,0.0,True,0.0,10.016666666666667,BR
747218cd3302997a,1,0.0,0.0,True,0.7030975114131134,3524.833333333333,
3a73288e170e403b,1,0.0,0.0,True,1.9643112344262048,102.75,BR
ba8fe3673a38b94a,1,0.0,0.0,True,1.6467336971777973,1171.6166666666666,
a12b702e3ecebffa,4,1.0,0.0,True,0.0,16.216666666666665,
f184a7ecc33f81e0,4,1.0,0.0,True,0.1043600153242427,61.13333333333333,BR
d854e6fa1eef358c,4,1.0,0.0,True,0.0,254.95,BR
548b2dced43c5eec,3,0.0,5.935342392704594e-05,True,0.0,1074.5666666666666,BR
794dae5c90a79829,4,1.0,0.0,True,0.0,155.36666666666667,
12c412c7d84b23d7,4,1.0,0.0,True,0.0,1978.4166666666667,BR
8545238b8b45671c,2,1.0,0.0,True,0.0,27.85,
fc1882efe399abef,2,1.0,0.0,True,2.2935443483418965,4285.066666666667,BR
4b553085307840c4,2,1.0,0.0,True,1.2725655957915476,20.75,FJ
4839224b6ebd652f,4,1.0,0.0,True,0.0,45.53333333333333,BR
0be8af594161805a,4,1.0,0.0,True,0.598836501088704,182.0,BR
2d133e446ebbfe71,1,0.0,0.0,True,0.0,64.5,BR
2cbc3aaecae95156,1,0.0,0.0,True,0.0,5037.733333333334,BR
a9e5814371036bb5,4,1.0,0.0,True,0.6780335427498971,130.01666666666668,BR
8f578011f79f2f51,1,0.0,0.0,True,0.0,0.0,BR
ef59377be8ac0346,1,0.0,0.0,True,0.3148107398400335,432.26666666666665,
dfbc641df53dc586,1,0.0,0.0,True,0.0,4823.5,BR
d2c8e450653ce294,1,0.0,0.0,True,0.0,1017.1333333333332,
448f270506827b58,1,0.0,0.0,True,0.0,3415.05,
70fc7df5ac233c43,1,0.0,0.0,True,0.0,35.75,BR
30e5d334fdb8a7c4,1,0.0,0.0,True,3.604682295313181,3432.7,
10b43e83ea5c928f,1,0.0,0.0,True,0.0,1237.2833333333333,BR
64d83aa42baa0d6a,1,0.0,0.0,True,0.0,0.0,BR
2ba5b21b461885b5,2,1.0,0.0,True,4.947056312453385,1324.9833333333331,BR
427b787922775795,1,0.0,0.0,True,3.6033215657522897,0.0,BR
be0910d999f2b261,1,0.0,0.0,True,1.5040773967762742,3205.3,BR
063b2443e7002c2c,1,0.0,0.0,True,2.122261538862764,241.65,BR
514dadce62a47566,1,0.0,0.0,True,0.0,3514.266666666667,BR
2ee15ff53e2a0349,1,0.0,0.0,True,0.0,2966.0333333333333,US
5bfb2b096d3f5148,1,0.0,0.0,True,0.0,4383.95,US
dc42ca342850ff66,1,0.0,0.0,True,0.0,0.0,BR
fa998fa2f2a51dce,1,0.0,0.0,True,0.0,385.3,BR
92abd7769b07efc4,1,0.0,0.0,True,0.0,1186.5333333333333,BR
2e8596705788797e,1,0.0,0.0,True,0.0,75.55,BR
a09c89303c8b97cc,1,0.0,0.0,True,1.4861396960896067,1089.3666666666666,
2b3d2873337c2edf,1,0.0,0.0,True,4.971686543957681,1743.75,
6e5f6dfcf60fb9bb,1,0.0,0.0,True,3.0791538816930637,3834.433333333333,BR
ce6c76b1d74d1e17,1,0.0,0.0,True,1.742219023667919,1563.5666666666666,BR
142f12b0a51506ea,1,0.0,0.0,True,3.0828269804049246,3583.1666666666665,BR
837aeada73724d32,1,0.0,0.0,True,3.659965443949294,2653.733333333333,
6a9b8bde34fc3964,1,0.0,0.0,True,0.8586616190375187,4261.533333333334,BR
22d6efdf391e67aa,1,0.0,0.0,True,1.205970806988609,4364.716666666666,BR
e6f83b4c712a37c3,1,0.0,0.0,True,3.3884498088396526,7382.483333333334,BR
45e0de5d31f2d499,1,0.0,0.0,True,2.4379897300002487,4547.3,
a613e3b74e85ee44,1,0.0,0.0,True,0.0,3055.5666666666666,BR
8375459735539082,2,1.0,0.0,True,0.0,0.0,BR
9ff1db9bdcb2b0ff,1,0.0,0.0,True,0.0,2201.5666666666666,BR
2008b4f8024deb60,1,0.0,0.0,True,0.0,3484.1833333333334,JP
151e47748afbd370,1,0.0,0.0,True,2.032087845296365,2897.616666666667,BR
d04b33ff224339d9,1,0.0,0.0,True,2.2202898502672155,8101.066666666667,
27a207db54e4a141,2,1.0,0.0,True,2.1552445050953364,0.0,BR
197d1dd4bc7bc456,2,1.0,0.0,True,5.666426688112432,952.8333333333334,BO
ddc965ba9832615b,1,0.0,0.0,True,2.986691528901842,8139.65,BR
0ffedda66360710f,1,0.0,0.0,True,1.3297240096314962,1407.0,BR
b84218f27eaa47e7,1,0.0,0.0,True,1.57069708411767,3030.733333333333,IQ
0f799388120f7a54,1,0.0,0.0,True,5.004080525125581,1592.2,
b3a1072c4a8fb1c9,2,1.0,0.0,True,1.6054298910365616,1733.5833333333333,BR
26a9fa1c4911d5fb,1,0.0,0.0,True,0.4446858212614457,2474.133333333333,BR
d52a3c915092392c,1,0.0,0.0,True,0.0,0.0,BR
df0e0c53a9b26bed,1,0.0,0.0,True,0.0,3066.116666666667,BR
2d9f280a4eceb360,1,0.0,0.0,True,0.0,372.7,BR
02abf16262c14a04,1,0.0,0.0,True,0.0,2194.55,BR
3de41e705a0defd4,1,0.0,0.0,True,5.858904111523501,6814.383333333333,VA
f7cc271db2557a64,1,0.0,0.0,True,3.0170044088295307,3007.1833333333334,BR
e0357b88af4ec376,1,0.0,0.0,True,0.5068176023684519,1150.1833333333334,
0b52e15c73d7f1e8,1,0.0,0.0,True,0.0,2830.55,BR
6b70b7f24582f61f,1,0.0,0.0,True,0.0,3469.05,BR
28dc80eb5ca58c4d,2,1.0,0.0,True,0.0,0.0,BR
9a238bb5eb6e67ba,1,0.0,0.0,True,0.0,1662.9833333333331,AR
845734045e091aff,2,1.0,0.0,True,3.709172157381699,0.0,BR
5e5c9a5df7f46ce4,1,0.0,0.0,True,0.1906203596086497,1099.2,BR
01c76f7c8b03e37c,1,0.0,0.0,True,3.85925493988949,3395.5,BR
82478318a411959c,1,0.0,0.0,True,0.0,0.0,BR
d5c36353603dfa67,2,1.0,0.0,True,0.0,2572.75,PL
