market_hash_name,price_usd,volume,source
"Sticker | ZywOo (Glitter, Champion) | Paris 2023",0.08,138,steam_market
Sticker | apEX (Champion) | Paris 2023,0.03,6,steam_market
Sticker | Spinx (Champion) | Paris 2023,0.03,6,steam_market
Sticker | ZywOo (Champion) | Paris 2023,0.03,119,steam_market
Sealed Graffiti | Worry (Blood Red),0.06,64,steam_market
AUG | Torque (Field-Tested),9.6,8,steam_market
Souvenir Glock-18 | Night (Field-Tested),0.76,40,steam_market
Sealed Graffiti | Bling (Dust Brown),0.04,7,steam_market
Sealed Graffiti | Noscope (Bazooka Pink),0.04,27,steam_market
Sealed Graffiti | GGWP (SWAT Blue),0.04,23,steam_market
Sealed Graffiti | King Me (Monster Purple),0.07,50,steam_market
Sealed Graffiti | Karambit (Monster Purple),0.04,26,steam_market
Sealed Graffiti | Sorry (Desert Amber),0.04,27,steam_market
StatTrak™ USP-S | Torque (Factory New),7.26,30,steam_market
Glock-18 | Catacombs (Factory New),8.54,30,steam_market
StatTrak™ MP9 | Bioleak (Factory New),2.11,18,steam_market
Revolution Case,0.53,119237,steam_market
MAG-7 | Copper Oxide (Well-Worn),0.04,29,steam_market
MP7 | Short Ochre (Field-Tested),0.03,470,steam_market
Kilowatt Case,0.41,137386,steam_market
Tec-9 | Army Mesh (Field-Tested),0.03,298,steam_market
Recoil Case,0.65,62735,steam_market
SSG 08 | Blue Spruce (Well-Worn),0.04,228,steam_market
P250 | Sedimentary (Minimal Wear),0.11,513,steam_market
MAG-7 | Insomnia (Well-Worn),0.12,558,steam_market
Dual Berettas | Rose Nacre (Minimal Wear),0.14,371,steam_market
MP9 | Multi-Terrain (Minimal Wear),0.03,376,steam_market
R8 Revolver | Amber Fade (Field-Tested),1.89,509,steam_market
MAG-7 | Rust Coat (Field-Tested),0.04,151,steam_market
USP-S | Check Engine (Field-Tested),1.33,364,steam_market
StatTrak™ Five-SeveN | Scrawl (Minimal Wear),0.4,161,steam_market
PP-Bizon | Wood Block Camo (Minimal Wear),0.03,462,steam_market
G3SG1 | Green Cell (Field-Tested),0.03,140,steam_market
SCAR-20 | Short Ochre (Field-Tested),0.03,138,steam_market
Sawed-Off | Forest DDPAT (Field-Tested),0.04,98,steam_market
StatTrak™ Galil AR | Signal (Field-Tested),2.08,44,steam_market
SG 553 | Phantom (Field-Tested),1.38,75,steam_market
Nova | Candy Apple (Field-Tested),0.2,73,steam_market
Glock-18 | Block-18 (Field-Tested),0.76,1131,steam_market
MAC-10 | Silver (Factory New),0.43,558,steam_market
StatTrak™ UMP-45 | Primal Saber (Field-Tested),17.54,17,steam_market
XM1014 | Blue Spruce (Field-Tested),0.03,150,steam_market
Nova | Mandrel (Field-Tested),0.04,24,steam_market
Tec-9 | Urban DDPAT (Field-Tested),0.03,118,steam_market
Glock-18 | Candy Apple (Minimal Wear),1.87,353,steam_market
UMP-45 | Mudder (Minimal Wear),0.09,185,steam_market
MP7 | Forest DDPAT (Battle-Scarred),0.03,17,steam_market
G3SG1 | Jungle Dashed (Minimal Wear),0.08,59,steam_market
USP-S | Ticket to Hell (Field-Tested),0.92,1821,steam_market
StatTrak™ Tec-9 | Rebel (Minimal Wear),0.31,128,steam_market
M4A4 | Poly Mag (Minimal Wear),0.3,593,steam_market
M249 | O.S.I.P.R. (Field-Tested),0.32,257,steam_market
StatTrak™ MAC-10 | Monkeyflage (Field-Tested),0.15,90,steam_market
Negev | Ultralight (Field-Tested),0.13,336,steam_market
Souvenir PP-Bizon | Urban Dashed (Minimal Wear),0.76,1,steam_market
P250 | Boreal Forest (Field-Tested),0.03,192,steam_market
Dual Berettas | Contractor (Field-Tested),0.03,311,steam_market
AWP | Atheris (Battle-Scarred),5.2,153,steam_market
Sealed Graffiti | GGWP (Dust Brown),0.04,10,steam_market
G3SG1 | Jungle Dashed (Field-Tested),0.03,224,steam_market
R8 Revolver | Cobalt Grip (Field-Tested),0.03,594,steam_market
Sealed Graffiti | Death Sentence (Dust Brown),0.04,13,steam_market
SCAR-20 | Contractor (Field-Tested),0.03,121,steam_market
Negev | Bulkhead (Minimal Wear),0.11,202,steam_market
Souvenir PP-Bizon | Anolis (Factory New),0.05,203,steam_market
Sealed Graffiti | King Me (Desert Amber),0.05,23,steam_market
★ Hydra Gloves | Mangrove (Field-Tested),53.21,49,steam_market
Clutch Case,1.2,11178,steam_market
Souvenir P250 | Drought (Minimal Wear),0.03,204,steam_market
MP9 | Slide (Field-Tested),0.04,1726,steam_market
Snakebite Case,1.04,19108,steam_market
AK-47 | Frontside Misty (Field-Tested),25.0,172,steam_market
PP-Bizon | Facility Sketch (Minimal Wear),0.03,176,steam_market
Sticker | Natus Vincere | 2020 RMR,0.06,370,steam_market
Sticker | Ninjas in Pyjamas | 2020 RMR,0.03,135,steam_market
Sticker | Vitality | 2020 RMR,0.03,97,steam_market
Sticker | Evil Geniuses | 2020 RMR,0.03,44,steam_market
Sticker | Heroic | 2020 RMR,0.03,95,steam_market
Danger Zone Case,2.5,10601,steam_market
MP7 | Neon Ply (Well-Worn),3.73,8,steam_market
Sealed Graffiti | 8-Ball (Frog Green),0.04,14,steam_market
CZ75-Auto | Circaetus (Minimal Wear),0.49,106,steam_market
Sealed Graffiti | Rage Mode (Blood Red),0.04,19,steam_market
Prisma Case,2.67,9765,steam_market
Galil AR | Black Sand (Field-Tested),0.8,86,steam_market
AUG | Ricochet (Minimal Wear),0.71,43,steam_market
Sealed Graffiti | Keep the Change (Frog Green),0.04,133,steam_market
SG 553 | Pulse (Field-Tested),3.49,65,steam_market
Glock-18 | Moonrise (Minimal Wear),2.47,245,steam_market
Sealed Graffiti | Keep the Change (Cash Green),0.04,194,steam_market
AWP | Asiimov (Well-Worn),130.9,8,steam_market
Desert Eagle | Midnight Storm (Minimal Wear),44.11,5,steam_market
